    GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
HERVH-int	52345	60391	42993	45079	43524	28151	44988	36623	95728	79070	55380	59442	42583	39591	42247	43766
MER72B	25	40	33	30	22	5	28	16	63	33	31	38	49	51	37	44
AluSc5	1319	1476	1452	1664	1289	904	1354	1054	2684	2436	1642	1722	2100	2194	1701	1755
MER61E	77	71	112	130	96	59	122	66	177	214	97	84	64	53	55	74
Charlie21a	79	76	123	149	65	51	76	58	188	100	144	158	139	145	140	158
(GAAA)n	244	217	350	338	268	185	274	192	613	377	243	263	362	361	159	217
MER9a1	57	56	122	49	47	45	75	74	174	145	143	116	125	92	93	101
(TTCCG)n	0	1	4	8	0	0	1	0	0	3	2	5	3	2	0	1
(ACGTG)n	0	0	8	1	0	0	3	0	8	1	0	0	2	0	0	3
L1P3	868	757	1427	1355	633	349	691	549	1543	1078	910	937	1079	996	823	1035
(GGGGA)n	11	17	8	21	10	9	17	11	33	27	13	21	31	16	14	20
MER75B	9	8	8	7	5	3	3	8	14	11	8	4	10	18	6	11
Eulor9B	1	0	1	0	0	0	0	0	2	0	0	4	0	2	1	0
(AACTG)n	1	0	0	0	0	1	0	0	2	0	1	0	4	0	0	0
LTR71B	60	74	40	49	38	27	44	37	88	82	33	48	46	43	32	44
Charlie1b	488	470	639	691	389	239	427	356	1010	642	632	609	699	715	568	679
MER94B	52	47	69	81	49	25	49	43	119	76	51	46	63	66	61	80
MER49	204	208	183	264	146	89	219	166	411	388	284	287	281	295	253	253
MER66C	70	76	70	94	36	14	73	58	154	120	70	77	88	78	50	50
(CCTA)n	23	25	26	24	13	7	15	10	20	32	24	21	37	34	29	34
MER92B	151	179	216	176	166	103	237	162	432	391	288	298	315	404	271	343
(CAATC)n	0	0	0	0	0	0	0	0	0	1	19	16	14	7	25	14
Charlie7	581	531	722	921	376	249	427	365	1016	648	661	696	727	731	658	686
Tigger4a	719	608	1144	1060	578	311	781	558	1800	1008	1152	1147	1512	1422	1215	1381
Charlie23a	177	206	268	288	141	80	150	126	317	257	225	213	232	240	209	251
MER127	25	23	27	32	14	8	26	17	67	25	16	20	29	40	27	31
UCON2	12	14	30	11	6	11	13	8	17	27	14	16	19	15	8	26
Mam_R4	60	54	81	73	30	26	56	36	102	88	87	76	104	116	76	97
FRAM	1567	1479	1612	1756	1285	780	1418	1165	3046	2312	1854	1874	2287	2332	1739	1895
HUERS-P3-int	162	143	174	172	104	47	146	115	344	203	257	270	265	212	193	239
LTR3	56	76	46	37	63	38	63	63	140	123	55	44	41	36	58	54
AluY	26082	25833	31625	36226	25655	16828	26564	20510	55013	42024	31552	32096	36931	40520	29323	32252
MER66D	16	27	17	22	13	5	34	20	76	38	28	17	24	15	11	25
MER34D	46	41	52	88	41	24	36	32	80	62	33	26	49	33	18	30
MER66B	282	386	378	394	222	196	381	300	823	581	212	183	259	206	176	215
UCON6	6	16	6	4	12	5	10	5	11	20	12	5	14	11	16	10
(CCCA)n	33	44	39	48	35	20	64	49	124	107	52	92	86	72	69	69
SST1	185	191	104	156	150	109	163	116	292	272	325	248	489	570	300	321
Cheshire	241	210	271	408	180	107	233	203	591	313	510	506	604	575	430	508
AluYk11	152	138	270	259	130	89	137	113	290	220	170	144	190	183	148	208
LTR28	134	139	122	113	91	59	122	86	189	227	114	174	168	171	111	133
THE1D	2623	2992	2066	2192	1324	864	1633	1278	3355	2553	1677	1619	2040	1681	1268	1510
L1PA15	3152	3075	3909	3802	2440	1320	2846	2178	6007	4194	2478	2567	3507	3258	2315	2463
SUBTEL_sa	0	2	0	6	5	3	3	0	5	3	0	0	0	0	0	0
Charlie9	207	198	270	187	164	92	171	146	386	260	270	222	297	233	182	271
Tigger7	531	572	660	718	434	254	503	353	958	755	752	723	957	922	676	757
MLT1G-int	37	43	55	56	46	42	51	33	96	73	49	59	55	69	46	49
MER45B	221	216	239	232	136	105	212	141	402	304	170	156	123	173	115	148
(CAAAT)n	2	0	3	0	0	1	0	0	0	2	2	0	0	0	1	0
(TTTTTG)n	226	182	398	301	242	131	308	188	674	329	397	370	518	457	405	550
(CAGTT)n	1	1	0	0	0	0	0	0	0	1	2	0	6	1	0	3
(TTTA)n	410	215	534	587	384	157	414	310	965	501	365	424	538	409	280	523
HUERS-P3b-int	231	220	268	159	178	112	271	188	532	380	129	139	218	203	139	155
L1M3e	149	136	113	170	72	37	107	68	203	144	142	154	182	174	134	125
Tigger2b_Pri	468	482	501	463	338	186	384	319	841	564	504	491	555	535	442	491
(CCCCAA)n	21	21	12	9	2	7	19	7	20	31	5	8	5	4	6	6
(CACTG)n	1	4	20	2	0	2	1	3	10	1	2	0	6	1	0	4
(TTCTC)n	34	29	33	35	23	11	17	8	29	21	19	32	23	25	18	25
LTR68	32	27	29	28	11	14	24	18	58	27	29	41	38	34	31	41
L1P4d	68	70	54	78	75	63	94	68	196	124	49	72	94	99	73	69
LTR43B	27	31	12	10	27	16	20	16	36	35	37	38	15	7	19	29
AluSx1	28630	29954	31235	36580	27388	18365	29056	22983	56779	44713	33238	32744	37524	40814	30561	33716
HERVK9-int	805	882	643	744	988	645	1336	1056	2606	2058	511	520	690	730	399	555
L1M3f	263	205	221	270	180	90	230	166	458	316	212	191	176	215	137	167
(CG)n	8	11	11	7	3	5	8	4	12	12	9	16	22	12	11	10
HERVK11D-int	49	35	36	66	23	19	16	25	43	39	2	0	20	23	2	2
MER82	853	891	903	996	621	370	768	645	1590	1150	890	924	1047	969	875	963
(CAGAT)n	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
(CCGG)n	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
L1M4b	1645	1481	2105	1899	1212	696	1364	1141	2828	2029	1687	1783	2039	1912	1658	1860
UCON4	20	19	25	29	16	18	13	19	38	26	14	37	32	31	27	39
LTR29	70	92	87	105	76	36	100	87	223	140	104	121	161	162	109	114
REP522	314	490	225	354	518	376	372	320	631	687	89	84	60	55	53	70
(CATTA)n	5	5	0	3	0	1	0	2	3	2	4	6	3	8	7	2
LTR86C	31	27	14	24	29	16	32	24	63	45	42	28	39	29	34	39
(TCTG)n	311	356	414	368	407	269	404	330	750	646	110	110	137	123	90	137
L1M2a1	34	44	24	20	23	13	28	17	48	38	23	19	20	28	15	12
LTR8	979	1070	1024	1039	746	527	886	769	1897	1273	992	939	1070	934	881	994
L1MA4A	1769	1816	2167	2122	1344	769	1523	1181	3006	2129	1477	1468	2036	1975	1471	1668
LTR61	36	26	85	72	30	13	70	67	125	134	55	46	67	64	49	79
MER4B-int	221	216	299	274	229	114	227	186	475	311	276	228	334	254	228	275
MER4A1_	99	100	121	92	57	34	64	55	139	88	64	77	105	85	71	57
L1PB3	1011	1019	1277	1345	737	485	891	736	1878	1198	1008	1061	1602	1376	838	1027
Tigger2	1498	1529	1571	1770	1215	834	1345	1066	2571	1930	1146	1022	1362	1226	1037	1153
AluSq	5358	5803	6021	7315	5027	3533	5552	4206	10117	8000	6511	6556	7863	8392	6221	6855
Tigger8	273	306	271	232	150	107	189	177	450	245	210	229	261	275	213	232
(CTAA)n	0	3	5	9	0	0	2	3	8	3	5	3	0	7	5	3
MER112	722	634	1018	1009	547	361	661	459	1288	799	917	932	989	1012	911	1090
AluSz6	11359	11843	13025	14489	10502	6988	11431	8822	20842	16632	13378	13558	15964	17442	13461	14268
Tigger4b	484	496	815	736	512	272	556	477	1235	709	777	759	860	896	671	892
LTR58	6	4	5	13	16	3	10	5	10	18	10	10	11	6	11	7
MER61C	49	54	75	45	46	37	60	41	99	87	56	44	56	51	33	52
HERVIP10F-int	411	457	432	435	311	225	442	327	801	615	713	679	952	744	835	810
(TAGA)n	290	247	300	317	208	137	291	253	577	429	301	356	324	330	229	257
LTR75_1	17	12	3	29	7	13	14	14	13	39	8	14	9	12	15	14
LTR23	201	185	165	165	119	85	162	122	305	218	174	173	201	268	202	214
FordPrefect_a	40	43	11	30	24	21	40	20	70	41	30	25	19	19	17	16
BC200	22	15	30	12	7	12	19	13	29	30	67	70	66	49	56	48
LTR10D	48	64	56	59	58	31	47	49	110	69	58	66	80	84	57	47
LTR38C	41	27	33	59	21	11	23	20	60	22	19	29	27	16	15	19
(TTCG)n	5	0	4	8	4	1	4	0	3	5	1	4	1	2	1	3
LTR90B	58	42	86	93	46	23	44	34	52	88	57	36	48	41	46	44
LTR83	82	64	68	99	80	46	104	54	167	119	96	103	119	103	112	109
MER58D	172	113	176	188	92	60	114	101	238	158	166	171	177	226	163	229
HAL1-3A_ME	153	169	132	186	111	87	144	112	269	198	156	146	249	208	136	152
(CTTAA)n	0	1	6	0	0	0	0	0	1	0	2	2	0	3	1	2
ERVL-int	155	164	178	191	124	73	120	130	232	223	154	172	178	211	151	132
(GGGA)n	19	23	20	23	19	16	24	26	49	43	29	38	30	67	18	20
AluYb9	4275	2995	10081	6661	4736	1684	3561	2439	7934	3253	1520	1501	2584	1435	1236	2165
LTR72	51	37	33	20	22	15	32	30	59	54	64	64	80	53	45	57
(ATAGG)n	0	0	3	0	1	0	0	0	0	1	0	2	0	1	1	2
(GGAGAA)n	35	30	86	51	71	31	14	10	14	29	13	10	3	3	7	7
MER90a	353	370	280	335	238	136	285	232	511	419	220	174	194	204	161	186
U7	32	24	12	24	27	6	33	31	70	48	10	21	21	23	12	12
Helitron2Na_Mam	29	16	68	101	16	9	53	27	64	77	90	59	95	76	91	106
Charlie17a	180	164	222	226	192	104	203	162	388	270	249	267	292	304	244	301
MLT1H1-int	35	41	30	72	35	25	72	74	163	105	52	42	47	59	23	48
Charlie2b	596	551	681	769	624	293	651	524	1275	847	673	642	812	674	571	755
(CACTT)n	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
(ACCG)n	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
AluSx4	1611	1741	1684	1918	1423	943	1495	1211	2627	2189	1604	1543	1867	2179	1594	1676
(CCTCG)n	10	13	0	4	5	8	20	7	16	31	8	9	18	12	12	15
L1MA10	828	783	1011	1024	598	389	782	612	1480	1011	667	660	827	799	526	678
L1PB4	1505	1501	1402	1413	936	549	1204	954	2313	1548	1213	1327	1563	1463	997	1204
(GAA)n	182	199	284	190	252	185	200	135	294	295	129	134	120	100	119	125
AluYk4	400	407	499	588	434	313	548	359	959	645	461	428	502	572	411	469
(AGGGGG)n	6	17	5	9	20	9	12	13	18	27	11	20	15	24	6	16
LTR81C	93	85	104	87	57	54	105	61	168	124	78	90	135	112	62	109
MSTB	1640	1957	1290	1424	944	614	1303	1061	2443	1747	1542	1470	1726	1719	1269	1486
L1MEa	55	59	67	88	57	37	62	44	135	56	44	57	61	65	50	51
Arthur1	417	388	369	380	244	145	330	273	595	471	325	282	332	254	216	247
LTR10F	134	139	103	88	71	57	79	76	185	95	92	84	161	111	79	73
MER113B	71	53	81	104	47	32	71	49	123	88	73	70	93	77	69	104
LTR44	50	56	49	63	46	33	52	34	92	59	22	20	33	29	17	36
(TGG)n	56	62	95	130	61	36	70	54	115	101	75	86	108	88	71	87
(CTATG)n	2	2	3	0	0	3	5	3	16	1	3	3	1	0	6	0
(ATTAG)n	3	6	17	0	7	8	7	3	14	5	4	2	5	4	4	6
LTR12F	854	953	493	576	630	359	696	545	1229	921	120	129	174	179	91	132
LTR80A	50	39	52	47	41	32	37	34	60	63	50	56	49	55	40	39
Charlie20a	155	126	160	154	132	79	184	138	333	226	188	176	149	166	151	183
L1M2	3480	3330	4449	4293	2894	1759	2945	2327	5603	3553	2880	2817	3656	3396	2609	3109
(TGGA)n	266	343	269	273	179	139	279	222	451	408	249	305	308	338	189	221
LTR2B	189	180	184	184	160	112	198	171	353	282	281	296	489	430	275	356
(CACCC)n	43	56	44	58	49	32	43	38	79	61	27	41	64	59	34	33
LTR26B	172	173	168	199	154	120	214	163	356	288	157	133	211	184	107	110
MER5C1	111	92	135	109	60	22	96	78	168	131	146	108	130	164	137	144
MER33	2308	2112	2336	2594	1757	1088	1853	1491	3264	2448	2101	2057	2515	2406	2083	2298
(CAAGC)n	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	2
MER51D	17	21	16	4	1	8	22	11	36	22	6	18	13	13	20	6
LTR54	290	249	268	235	229	133	245	143	361	292	172	163	202	223	142	198
(TTTCC)n	513	740	318	357	215	121	377	303	627	527	403	376	331	324	396	400
L1ME3F	928	865	1312	1317	879	500	950	804	1839	1171	1002	944	1099	1133	925	1203
LTR5A	244	298	245	259	122	93	169	137	288	230	181	191	169	195	128	139
L1PA10	3030	3230	2688	3005	2663	1621	2158	1831	4017	2776	2333	2354	2708	2786	2001	2281
Tigger9a	238	229	208	274	239	115	225	154	382	257	179	182	294	246	207	215
MLT1N2-int	12	2	15	15	14	3	23	10	32	24	6	16	10	9	6	11
Helitron3Na_Mam	187	198	207	224	138	96	189	130	356	184	124	137	255	225	162	175
MSTD-int	332	331	272	403	244	156	223	195	419	287	355	343	321	318	300	337
MER9a3	213	243	126	169	143	94	205	152	308	285	237	232	221	210	191	192
(GAAAA)n	154	127	141	179	146	95	162	150	313	214	118	107	134	115	89	112
Helitron1Na_Mam	66	65	63	96	43	25	44	31	82	45	31	31	32	20	37	36
(TTAA)n	106	48	91	74	58	29	62	41	104	69	87	83	111	96	51	101
L1M3de	65	71	84	105	74	41	93	45	118	108	123	153	118	150	117	132
PABL_B-int	234	250	128	146	159	99	198	204	356	316	175	175	277	201	179	185
MER70B	103	118	81	86	62	40	113	90	175	161	54	32	27	23	30	31
PABL_A	130	126	115	140	110	62	146	91	224	167	137	141	146	120	132	122
LTR64	68	81	72	79	37	23	54	42	84	75	69	48	74	73	58	94
MER52D	344	402	293	266	378	287	397	274	597	505	220	248	277	224	186	185
(TTCC)n	296	408	427	463	417	287	463	351	714	625	553	551	572	606	515	580
MER2	3027	3120	3325	3681	2602	1525	2310	1886	4027	2909	2409	2511	2820	2855	2217	2764
MER57F	53	40	55	75	59	30	83	60	164	76	60	40	35	44	37	28
AluSp	17329	18154	18693	21493	18300	12278	19390	15268	31529	25082	15994	16251	19510	20885	15733	16982
AluSc8	6144	6821	6557	7874	5983	4042	6507	5235	10656	8503	6026	5882	6854	7448	5504	5902
MER41E	96	97	103	77	74	38	64	55	123	74	71	83	107	96	64	62
(CACCG)n	0	2	2	4	1	3	9	4	16	6	31	29	62	25	33	46
AluSz	34988	37374	32902	38056	29261	19909	31906	25130	51428	41362	36396	35857	37629	42419	34530	36534
AluSc	9393	10438	9471	11287	8317	5716	8828	6882	14058	11438	8480	8343	9397	10529	7805	8410
Tigger3c	749	737	767	689	466	267	484	378	831	577	476	515	617	606	388	534
(GTTTG)n	30	30	43	103	45	16	39	33	71	48	30	26	47	41	37	27
LTR25-int	183	173	247	198	211	110	165	126	278	196	254	200	266	197	197	224
(GGCTG)n	25	28	15	17	26	16	22	23	47	28	29	12	13	25	21	25
HERVL32-int	33	30	26	28	14	8	30	28	35	58	20	29	22	45	24	19
Charlie1a	2315	2447	3087	3061	2113	1287	2142	1727	3572	2679	2131	2138	2534	2577	2167	2349
AluYg6	187	164	185	199	143	87	143	137	248	205	194	172	182	215	167	185
(GATTG)n	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
MER1A	1017	1152	939	993	815	544	867	706	1484	1048	967	1007	1005	1008	899	956
LTR86B1	51	41	27	56	36	23	49	48	93	65	63	54	96	74	71	55
FLAM_A	3641	3420	4333	4473	3567	2174	4042	3154	6810	4742	4224	4212	4768	4870	3972	4663
LTR34	89	77	82	136	73	46	68	72	137	91	74	42	91	73	55	73
(A)n	4522	3640	10141	9278	4679	2210	4178	3015	7397	4136	3089	3001	4386	3303	2805	3728
MER84	50	48	44	61	41	17	59	51	127	52	53	48	78	61	54	42
(CAAG)n	6	6	6	8	8	0	5	4	15	1	4	6	2	6	4	4
MER119	373	367	464	504	301	176	320	256	583	334	296	329	349	439	320	330
Charlie26a	88	86	116	127	82	68	121	86	191	135	65	79	95	97	69	88
L1MB5	3242	3234	3405	3659	2659	1656	3201	2531	5194	3803	2818	2766	3503	3333	2617	3008
L1PA13	3634	3364	3405	3392	2346	1525	2382	1904	4032	2720	2072	1987	2596	2569	1617	1959
LTR38	64	66	28	57	40	26	61	50	106	70	44	46	41	29	20	45
MER39B	604	573	530	546	501	321	637	526	1019	804	220	249	331	233	219	290
MSTD	1971	2017	1610	1748	1444	811	1660	1271	2615	1964	1330	1276	1521	1409	1207	1342
HERVFH19-int	47	43	58	18	62	33	56	46	89	72	14	12	17	9	14	12
MER113A	185	212	217	222	172	103	234	184	384	270	279	275	332	295	268	299
MER34C2	161	167	143	145	64	40	94	71	146	111	95	69	111	102	66	92
GSATX	31	28	22	39	29	20	47	27	57	57	13	16	25	8	13	14
(TTATG)n	18	30	25	15	14	10	20	16	28	28	46	39	41	41	33	44
Charlie4a	750	652	864	966	545	335	620	551	1089	738	757	723	955	883	700	805
Tigger12	90	79	98	80	93	46	93	72	144	111	132	108	152	159	110	127
(CAAAA)n	396	347	437	482	400	243	384	312	641	438	318	282	341	369	271	303
LTR10A	105	134	83	89	49	36	89	80	168	96	145	144	224	219	153	170
(TTGG)n	58	49	50	80	69	38	58	46	82	78	87	49	97	102	80	93
X7C_LINE	93	101	107	110	78	61	80	67	139	89	64	62	58	66	61	67
LTR52	266	321	306	301	203	150	257	209	384	330	148	118	99	110	111	152
L1MB8	6253	6193	8011	7971	5723	3279	6795	5396	10803	7902	6029	6354	7420	6753	6313	6985
(TCTA)n	518	542	499	624	499	310	498	378	784	559	344	346	395	353	292	307
MER57C1	28	57	61	50	49	28	30	33	60	39	32	28	20	52	16	22
MER4-int	815	693	815	712	684	343	762	569	1233	812	615	643	719	603	507	564
L1MB2	2792	2765	3633	3778	3364	2060	3215	2574	5323	3566	3291	3314	4171	4059	3273	3781
Tigger13a	795	748	1067	1023	559	319	634	518	991	767	630	633	935	839	662	738
(TTTTG)n	548	483	827	836	612	355	549	445	924	601	631	694	883	778	725	708
Kanga11a	145	109	160	179	79	69	122	102	192	150	127	131	166	107	104	146
(CCTTG)n	24	64	0	1	37	28	9	22	21	27	181	218	816	679	203	271
LTR85b	214	203	203	207	127	101	170	143	283	193	103	109	100	80	68	104
LTR16D	302	380	233	277	285	203	391	321	629	451	150	89	81	78	86	87
(CGCTG)n	1	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1
Ricksha_c	376	409	386	321	305	169	377	312	660	391	205	196	242	207	165	167
LOR1b	256	312	351	340	238	172	282	229	449	324	146	130	162	106	101	136
(ATG)n	239	302	164	232	168	107	190	175	309	243	154	140	138	173	134	158
LTR19B	120	108	89	95	72	59	93	75	168	88	136	126	81	87	104	110
LTR27B	90	122	147	134	86	44	107	83	156	129	95	106	90	115	85	117
UCON27	6	3	9	10	5	1	13	13	22	18	8	9	7	6	3	1
L1MC	2308	2321	2444	2406	1942	1121	2271	1866	3757	2489	2216	2238	2515	2493	1961	2420
L1P4	917	848	955	1064	615	389	704	590	1208	750	660	661	854	737	526	579
LTR30	34	27	24	39	21	14	25	8	27	22	52	52	100	71	104	87
(CTTAT)n	0	0	2	0	1	0	1	0	0	2	3	0	1	2	1	1
(CCCCCT)n	29	28	35	68	32	35	35	27	50	43	15	24	41	40	20	19
L1MA2	2379	2416	2879	2645	1975	1204	2415	1994	4015	2616	2106	2052	2356	2391	1907	2130
(CATG)n	48	50	35	31	27	22	45	49	55	84	32	36	32	35	27	36
L1MD2	3463	3560	4108	4412	3147	1917	3368	2635	5408	3551	2980	3010	3602	3339	2781	3333
L1PA16	5354	5497	5311	5587	3660	2109	4078	3344	6459	4606	3433	3369	4395	3841	3045	3571
MamGypLTR1c	231	225	253	183	179	110	213	147	286	244	106	102	100	109	89	102
LOR1a	389	472	308	349	250	168	396	347	584	517	171	175	310	252	81	154
FLAM_C	6510	6238	6199	6786	5459	3400	6080	4973	9299	7090	5957	5992	6668	7161	6003	6411
(CAGAGA)n	234	282	131	149	176	112	242	209	327	336	113	153	144	177	97	104
LTR66	126	160	112	154	110	73	91	71	136	104	76	40	65	45	34	49
(TATG)n	463	432	433	510	305	162	418	295	610	438	382	388	354	369	351	367
MER136	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0
L1MEg	4208	3817	5133	4974	3683	2185	4128	3299	6644	4311	3305	3553	4309	3935	3133	3701
(CAGCT)n	25	32	22	22	29	21	26	18	30	34	49	26	56	34	34	28
MER53	983	796	826	785	623	395	721	610	1114	837	466	464	462	430	378	472
LTR42	420	402	309	295	289	200	276	208	385	317	239	244	159	178	203	266
MER63B	479	482	518	668	384	212	427	341	665	456	281	302	287	298	252	348
(CTAG)n	13	13	9	14	19	6	13	10	18	16	3	1	4	1	2	4
L1MEg1	235	208	288	269	176	125	188	181	276	260	223	330	296	280	208	276
HUERS-P1-int	191	205	167	217	135	91	174	125	263	172	251	240	318	264	197	180
L1ME1	9745	9262	12406	12212	8726	4910	8929	7193	14059	9458	8846	8618	11125	9845	8396	9475
PABL_B	108	131	77	80	69	41	102	70	143	106	55	57	74	60	39	73
(CGGAG)n	0	0	0	0	0	0	0	1	1	1	2	2	1	0	2	1
AluJo	22894	24204	22074	25200	20453	13815	23885	18980	34915	27062	20788	20620	25391	25373	20094	22254
MER31A	441	461	371	525	405	265	430	369	674	488	282	243	397	392	261	282
MER21C	2152	2267	1941	1964	1759	1239	2274	1875	3427	2580	1855	1884	2400	2335	1715	1936
MER9B	91	89	55	52	117	68	188	140	213	253	11	18	19	16	13	17
L1MD1	2580	2290	3662	3393	2458	1386	2649	2115	4029	2864	2158	2096	2879	2545	2012	2330
(CAGGC)n	4	9	0	1	1	2	5	2	9	2	2	4	0	7	2	5
(TGGGGG)n	11	8	7	5	6	3	11	13	15	20	10	9	10	15	6	8
MLT1C-int	162	165	153	177	108	84	153	126	247	158	128	127	170	124	137	136
L1ME3	2516	2401	2316	2196	2077	1125	2656	2107	4060	2821	1924	1940	2213	1953	1660	1989
HAL1-2a_MD	545	998	535	668	560	384	492	442	692	649	386	315	332	319	313	281
L1M1	5171	5198	5222	4934	3935	2472	4516	3742	6950	4957	3118	3024	3439	3193	2536	2940
Charlie10b	64	81	94	91	46	54	53	67	96	79	54	62	59	62	48	57
MamRep137	735	742	663	678	573	378	624	528	920	734	591	565	585	561	621	670
L1MEf	4477	4140	5815	5606	4342	2527	4552	3715	7235	4647	3435	3596	4332	4136	3433	3904
AluSq2	17730	18222	20697	24643	19107	13281	19343	15881	28065	22140	14938	15333	17671	19531	14361	15455
Tigger2a	829	894	780	758	601	356	718	584	1088	770	718	743	824	844	611	733
MER67C	264	278	248	278	322	164	310	243	438	345	201	231	260	235	187	193
MER52C	527	649	304	366	275	198	337	301	484	420	160	163	132	111	122	125
LTR78B	655	698	669	732	680	437	705	567	965	826	412	392	419	451	356	422
MER57B1	340	358	326	404	309	172	258	292	448	341	164	160	228	156	126	163
(CACAG)n	38	78	18	60	26	16	57	29	71	50	19	26	14	44	12	19
MER30	1239	1152	1250	1285	1039	657	1171	944	1724	1262	1064	1043	1378	1395	1207	1237
LTR57	98	85	92	63	78	61	86	69	113	105	61	37	64	36	21	59
ALINE	40	22	45	28	22	21	42	12	40	34	18	27	39	29	24	39
LTR75	95	86	104	59	72	35	107	106	155	145	88	142	158	156	116	139
MER50C	39	40	34	54	36	20	22	33	47	32	31	28	59	68	44	47
MER34-int	84	90	123	134	79	44	89	84	139	105	81	56	81	69	61	68
MER61D	71	67	38	65	58	57	77	51	113	67	46	41	57	53	36	35
LTR77	53	43	26	25	20	12	36	8	41	20	15	17	28	10	8	14
LTR37B	269	241	389	298	197	115	270	241	449	268	233	227	199	242	227	243
(TCCTG)n	7	29	11	29	21	6	13	17	24	19	20	12	42	23	19	10
LTR6A	155	118	106	110	80	53	150	104	213	138	95	86	140	113	90	62
MER96B	360	344	384	462	344	206	383	260	515	368	263	243	401	343	256	286
L1PBa	1258	1391	926	1016	652	405	1133	854	1570	1164	697	824	1049	910	627	681
UCON25	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0
Charlie8	574	625	687	781	647	351	668	522	950	689	546	497	659	644	438	505
CER	57	47	27	25	27	26	40	30	57	40	43	29	15	22	11	47
SSU-rRNA_Hsa	529	869	655	1122	1279	954	1321	911	1542	1471	1523	1250	1462	1650	1382	1227
LTR27	80	78	72	92	60	37	90	68	128	88	85	96	106	123	65	73
Tigger3d	94	97	138	146	85	50	80	61	97	94	79	115	115	105	70	94
UCON12	0	1	0	1	0	1	1	3	1	5	3	1	2	1	0	1
LTR37A	966	939	796	897	470	303	585	464	853	578	243	251	320	313	211	312
(CTG)n	772	821	626	614	589	438	819	704	1106	958	414	441	326	354	429	424
(GA)n	1190	1250	1097	1164	1162	708	1230	978	1797	1212	800	934	1085	979	656	803
HAL1	9539	9644	10560	11162	8491	5204	9468	7484	13416	9541	7884	7869	10066	9483	7320	8769
MamGypLTR1a	250	250	195	213	237	151	242	190	345	239	109	114	99	106	101	103
(T)n	4169	3336	7533	6710	4473	2254	4253	3412	6837	3628	3951	4216	6035	4485	3773	5831
MER101	100	121	122	92	67	49	78	67	109	86	36	44	27	31	22	42
(AGCTG)n	1	3	1	6	2	2	3	3	7	2	1	0	3	0	0	1
UCON28b	5	5	16	9	2	1	10	6	14	8	2	3	1	4	1	0
Tigger9b	251	236	242	305	213	135	201	198	357	187	242	242	295	283	255	273
(CACCAT)n	230	389	190	261	265	200	233	174	302	240	147	130	155	121	132	121
LTR47B	135	157	95	106	119	64	139	126	221	137	84	59	76	83	58	67
L1MC4	11436	11468	13311	13931	10505	6403	11458	9416	16662	11339	9676	9580	11914	10763	9431	10547
LTR12	852	897	851	768	765	492	766	629	1051	808	319	316	315	307	222	252
MLT2C2	294	281	254	222	254	154	289	252	389	331	164	156	203	207	139	197
MER8	674	668	670	798	615	356	682	572	950	721	567	563	679	590	583	685
MER77	590	661	516	540	460	375	538	455	707	604	291	237	303	278	242	268
THE1C	2097	2431	1792	1837	1355	999	1634	1310	2235	1660	1417	1328	1417	1394	1136	1309
(CGTG)n	110	197	63	93	82	79	101	110	130	149	74	72	81	70	83	83
MLT1G3-int	53	45	130	91	64	37	80	73	112	91	38	41	58	39	30	39
MER54B	88	92	92	93	68	51	91	73	120	96	47	59	33	54	45	51
(CGGGG)n	36	67	63	78	89	60	70	50	75	81	40	32	40	40	33	42
MLT1F1	1072	1175	1218	1252	919	620	1109	889	1445	1174	681	696	751	730	541	647
LTR88c	134	148	171	170	114	78	129	118	194	133	65	76	87	92	54	59
LTR49	335	326	281	351	283	181	304	221	395	292	192	143	206	182	132	193
Charlie18a	521	438	700	618	455	291	512	412	715	500	444	416	548	480	432	417
(CGAG)n	1	3	1	2	0	1	1	1	2	1	1	1	1	2	1	1
Kanga1d	122	124	103	114	110	65	168	157	281	152	97	95	115	105	96	101
Tigger3	591	608	627	579	533	347	559	453	788	541	551	440	566	565	417	474
LTR36	147	161	128	157	109	76	134	124	207	134	80	92	67	97	61	94
MER85	164	159	157	171	118	67	196	149	276	177	189	187	190	184	220	186
L1MC2	2188	2288	2582	2788	1943	1201	2345	1973	3392	2291	1485	1564	1944	1727	1316	1572
UCON8	11	9	13	5	7	0	10	15	27	8	8	10	11	16	6	6
L1MD	2406	2221	3149	3134	2400	1371	2408	1958	3538	2216	1776	1855	2203	1949	1805	2128
(G)n	155	182	340	339	384	238	255	187	352	228	214	291	270	465	151	331
Tigger12A	216	228	207	201	150	113	176	162	267	178	117	136	201	169	105	169
L1MEe	5477	4530	10382	8495	5155	2834	4338	3791	6770	3972	2863	3059	3867	3291	2976	3732
MER77B	363	405	427	386	345	232	440	330	592	411	241	223	265	306	205	256
