Gene	WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
RNU6-1028P	0	0	0	0	0	0
NCAN	436	121	171	71	53	48
NR2C2AP	368	312	414	515	542	442
RFXANK	883	664	816	803	777	588
BORCS8	168	180	205	255	251	238
MEF2B	0	0	0	0	0	0
BORCS8-MEF2B	0	0	0	0	0	0
TMEM161A	1172	1067	1262	1298	1174	1144
SLC25A42	182	236	285	209	179	153
LOC124904655	1	0	2	1	0	0
ARMC6	1881	1302	1588	2898	3031	2220
SUGP2	5635	5854	5829	5985	4991	3284
RN7SL70P	0	0	0	0	0	0
HOMER3-AS1	14	8	10	10	1	5
HOMER3	689	484	575	751	700	540
DDX49	1298	946	1290	2288	2601	1879
COPE	3516	3168	3823	4192	4808	3822
GDF1	0	0	0	0	0	0
CERS1	131	117	175	70	95	113
UPF1	3432	2343	2355	5818	5542	3172
COMP	2	6	0	1	3	8
CRTC1	626	465	468	871	743	485
KLHL26	389	234	280	259	199	194
RN7SL155P	0	0	0	0	0	0
TMEM59L	134	81	185	74	91	60
CRLF1	69	75	51	113	236	114
REX1BD	1543	1137	1473	1891	1815	1704
UBA52	13534	12351	17285	15242	15708	12970
KXD1	3606	3625	4500	4111	3987	3501
FKBP8	8706	7170	8440	8887	8151	7355
ELL	537	351	433	801	785	532
ISYNA1	4122	3867	3758	2111	2154	1568
SSBP4	1112	837	778	906	896	750
LRRC25	5	3	1	1	1	2
MIR3189	1	0	0	4	3	3
GDF15	25	30	53	587	821	443
PGPEP1	478	400	464	933	737	424
RN7SL513P	2	1	0	0	0	0
LOC124904654	3	4	0	2	0	2
LOC105372300	3	9	1	6	3	1
LSM4	6478	5414	7377	5975	5536	4572
LOC124904653	2	2	8	1	6	2
RPL39P38	3	3	5	2	4	3
LOC124904652	11	15	16	12	13	7
MIR3188	0	0	0	0	0	0
JUND	1686	1431	1774	1578	1990	1655
IQCN	16	17	7	8	6	5
LOC729966	0	0	0	0	1	0
PDE4C	54	134	158	39	46	60
LOC102725254	0	0	6	3	3	5
RAB3A	73	170	151	55	68	89
MPV17L2	801	601	792	1255	1348	1094
IFI30	298	324	606	484	399	657
PIK3R2	3401	2191	2451	2720	2380	1580
LOC124904650	0	0	1	0	0	0
MAST3	291	303	302	152	148	126
IL12RB1	0	0	0	0	0	1
RPS18P13	1	0	0	0	1	0
LOC646666	0	0	0	0	0	0
CSP3	464	492	668	695	604	455
ARRDC2	160	415	386	166	208	227
RNA5SP468	0	0	0	0	0	0
KCNN1	521	311	503	374	351	416
CCDC124	2266	2055	2758	3598	4135	3609
SLC5A5	74	90	158	54	39	88
SNORA68	12	11	18	27	24	18
RPL18A	29289	25175	30816	27173	27147	22523
JAK3	137	206	254	89	78	71
INSL3	3	7	10	5	2	9
B3GNT3	9	21	34	31	22	34
FCHO1	688	639	768	517	426	517
LOC124904649	0	0	1	1	0	0
MAP1S	1865	1131	1360	2313	2091	1515
UNC13A	668	472	408	1348	1018	392
RPL21P130	0	0	0	1	0	1
COLGALT1	3097	2842	3122	2964	3020	1911
NIBAN3	13	7	7	12	13	6
PGLS	1237	1088	1550	1262	1484	1097
PGLS-DT	6	15	6	4	0	5
SLC27A1	405	379	398	207	136	146
NXNL1	1	1	1	0	0	0
TMEM221	81	76	110	53	33	28
HMGB3P29	2	3	10	5	1	9
MVB12A	929	817	963	779	823	894
BISPR	42	62	92	34	41	53
BST2	1210	1826	2350	1659	1502	2366
CCDC194	4	13	23	13	2	6
LOC105372298	0	0	0	0	0	0
PLVAP	4	2	2	9	83	14
GTPBP3	931	783	1121	1329	1173	898
ANO8	1053	1016	1148	707	483	351
DDA1	1051	898	1073	1449	1434	971
MRPL34	1387	1043	1580	1993	2135	1678
ABHD8	410	245	311	189	150	111
ANKLE1	437	400	554	436	469	498
BABAM1	3303	2969	4045	3492	3390	2848
USHBP1	92	83	122	159	121	119
NR2F6	3567	2422	3207	4834	5032	3393
OCEL1	358	361	545	277	255	371
USE1	200	180	217	213	212	146
SNORA118	0	0	0	0	0	0
MYO9B	3515	2235	2133	3485	2996	1639
HAUS8	667	511	713	663	655	499
RN7SL823P	0	0	0	0	0	0
RN7SL835P	0	0	0	0	0	0
CPAMD8	386	232	272	180	125	74
F2RL3	0	0	0	1	0	0
SIN3B	2272	1851	2100	3070	2695	1674
LOC124904648	1	0	0	0	0	1
NWD1	1	0	0	0	2	0
TMEM38A	73	54	95	117	114	101
LOC124904647	9	13	8	21	12	2
SMIM7	1412	1225	1576	1779	1667	1148
LOC105372296	13	7	19	17	11	7
MED26	375	223	284	490	381	315
LOC105372295	8	14	13	5	9	6
SLC35E1	1098	1034	979	1333	1291	780
RN7SL146P	2	2	3	0	1	0
CHERP	2354	1424	1498	2969	2676	1442
C19orf44	252	242	177	145	121	107
CALR3	8	9	5	6	4	4
RPS2P51	0	0	0	0	1	1
EPS15L1	1192	1165	1396	1510	1524	1090
KLF2	8	12	14	89	223	147
AP1M1	1696	1342	1432	1586	1637	1198
LOC124904646	1	5	2	3	6	9
FAM32A	423	338	421	498	545	275
CIB3	0	0	0	0	0	0
HSH2D	4	2	4	32	24	53
RAB8A	2260	1827	2365	3021	2993	2090
TPM4	18453	18919	20594	27358	30500	16405
LINC01855	0	0	0	1	0	0
OR1AB1P	0	0	0	0	0	0
SNX33P1	0	0	0	0	0	0
LINC00905	0	0	0	0	0	0
LINC00661	5	2	4	0	0	0
LOC105372291	0	0	0	0	0	0
CYP4F9P	0	0	0	0	0	0
LOC124900424	0	0	0	0	0	0
OR10H4	0	0	0	0	0	0
CYP4F11	0	0	0	1	0	3
LOC729654	0	0	0	2	0	0
LOC100421620	0	0	0	0	0	0
LOC89844	0	0	0	0	0	0
CYP4F2	0	0	0	0	0	0
CYP4F36P	0	0	0	0	0	0
CLEC4OP	0	0	0	0	0	0
UCA1	0	0	0	0	0	0
LOC124900418	0	0	0	0	0	0
ZNF861P	0	0	0	0	0	0
OR10H1	2	0	1	0	1	0
OR10H5	0	0	0	0	0	0
CYP4F24P	0	0	0	0	0	0
OR10H3	0	0	0	0	0	0
OR10H2	0	0	0	0	0	0
CYP4F12	0	0	0	0	0	0
CYP4F10P	0	0	0	0	0	0
CYP4F3	0	0	0	0	0	0
CYP4F8	0	0	0	0	0	0
RPL23AP2	1364	1413	1996	1436	1493	1669
LOC124904644	0	0	0	0	0	0
CYP4F23P	0	0	0	3	1	8
LOC100422106	28	32	36	35	38	25
CYP4F22	0	3	11	63	42	155
PGLYRP2	0	0	0	1	0	5
RASAL3	2	7	12	32	14	64
MIR1470	0	0	0	0	0	0
WIZ	2374	1494	1734	3424	2862	1951
AKAP8L	2544	2769	3561	2309	2372	1897
AKAP8	1175	903	1233	1826	1663	965
LOC124904643	9	13	16	15	7	4
BRD4	3277	2180	2493	4877	4078	2187
EPHX3	418	311	522	477	500	459
MIR6795	0	0	0	0	0	0
NOTCH3	7111	4244	4226	6040	4773	2469
RNU6-782P	0	0	0	0	0	0
OR10B1P	0	0	0	0	0	0
ILVBL	1799	1433	1761	1291	1293	1072
SYDE1	759	602	662	575	577	382
OR1I1	0	0	0	1	0	0
CASP14	0	0	0	0	0	0
CCDC105	0	0	0	0	0	0
SLC1A6	41	40	30	212	141	125
OR7C2	0	0	0	0	0	0
OR7A15P	0	0	0	0	0	0
OR7A11P	0	0	0	0	0	0
OR7A3P	0	0	0	0	0	0
OR7A1P	0	0	0	0	0	0
OR7A18P	0	0	0	0	0	0
OR7A17	0	0	0	0	0	0
OR7A2P	0	0	0	0	0	0
OR7A8P	0	0	0	0	0	0
OR7A10	0	0	0	0	0	0
OR7A5	0	0	0	0	0	0
OR7C1	0	0	0	0	0	0
TMEM167AP2	14	13	9	13	10	11
ADGRE2	10	5	6	46	56	45
ZNF333	215	460	274	190	143	81
ITGB1P1	987	1039	1295	2167	1834	1103
SNORA104	36	46	22	60	60	30
ADGRE3	0	0	0	0	0	0
RN7SL842P	0	0	0	0	0	0
RN7SL337P	0	0	0	0	0	0
CLEC17A	1	0	0	3	0	0
NDUFB7	1644	1413	1802	2239	2510	2411
MIR639	0	0	0	0	0	0
TECR	3079	2553	3301	2898	2616	2385
DNAJB1	2268	1751	2359	2794	3081	2465
SNRPGP15	321	300	490	355	335	309
GIPC1	1881	1524	2006	2532	2674	2194
PTGER1	16	10	6	10	5	7
PKN1	4218	3566	4253	2729	2574	2228
DDX39A	3123	2341	3340	4757	5079	3921
ADGRE5	101	109	90	214	299	282
LINC01842	8	7	7	10	8	23
LINC01841	13	16	13	10	3	8
LOC124904642	5	4	3	4	2	5
C19orf53	2249	1894	2673	3159	3237	2769
MRI1	645	548	755	863	903	580
YJU2B	607	598	653	764	675	586
LOC105372284	0	0	0	1	0	0
LOC107985287	0	2	2	4	2	3
CACNA1A	557	351	346	260	170	129
RPL12P42	7	5	8	1	7	5
IER2	1377	1492	2673	3819	5281	4415
STX10	773	615	828	584	687	707
NACC1	7645	4456	5323	12750	11088	7230
TRMT1	1761	1518	2049	2795	2857	2188
LOC105372282	0	0	0	1	0	0
LYL1	15	21	25	14	38	27
LOC107985286	0	0	0	0	0	0
NFIX	28	3	12	121	54	24
DAND5	4	3	5	4	4	3
GADD45GIP1	2618	2148	3228	3095	3272	3097
RAD23A	1527	1789	1914	2096	2095	1636
MIR6515	0	0	0	0	0	0
CALR	27379	24445	29277	38850	44793	29357
FARSA-AS1	0	0	0	0	0	1
FARSA	2548	1880	2462	4177	4463	3702
MIR5695	0	0	0	0	0	0
SYCE2	76	85	125	57	35	33
RPS6P25	4	12	19	9	12	3
GCDH	1041	774	1018	940	905	757
KLF1	16	8	23	18	37	25
DNASE2	570	630	865	361	411	513
MIR6794	0	0	0	0	0	0
MAST1	423	342	408	88	80	117
LOC105372281	20	38	57	7	5	11
RTBDN	30	14	42	10	12	42
RNASEH2A	2861	2299	3188	2317	2044	1946
THSD8	1	2	1	0	2	1
PRDX2	9635	7932	9442	10926	11005	8481
JUNB	120	177	267	274	1010	519
MIR5684	0	0	0	0	0	0
HOOK2	464	465	609	614	667	588
BEST2	11	10	27	6	8	9
GET3	3149	2617	3402	3139	3087	2479
TRIR	2995	2017	2998	3626	3664	2819
SNORD41	2	0	0	0	0	0
SNORD135	4	1	1	4	3	2
TNPO2	3623	2591	3017	4495	4027	2170
FBXW9	401	344	351	260	238	249
GNG14	0	4	0	0	1	0
DHPS	1662	1737	1728	1466	1149	1075
WDR83OS	909	849	1171	1135	1312	1022
WDR83	284	278	318	238	256	256
MAN2B1	2505	2232	2461	1890	1583	1335
RPL10P16	3990	3756	4950	7349	7293	5980
LOC105372279	8	1	6	7	7	1
ZNF791	534	636	500	761	652	378
VN2R16P	0	0	0	0	0	0
ZNF490	110	115	135	223	181	115
PGK1P2	27	54	33	37	48	32
LINC02926	2	1	9	5	3	1
ZNF564	238	227	149	192	134	113
PPIAP20	0	0	0	3	2	0
MTATP6P27	0	1	1	4	1	2
MTCO2P27	2	0	1	3	0	0
MTCO1P27	0	0	1	0	2	0
MTND2P40	3	0	0	3	1	2
ZNF709	77	74	51	83	57	15
ZNF443	89	58	45	165	135	70
ZNF799	43	30	23	84	63	51
RPS29P23	0	0	0	0	0	0
ZNF442	6	10	3	9	7	13
ZNF563	1	2	0	0	0	1
RPS2P53	0	0	0	1	0	1
RPL28P5	334	313	446	343	388	302
ZNF44	23	25	20	24	39	48
LOC100289333	1	3	0	4	4	0
ZNF136	123	142	89	125	129	65
ZNF625	48	61	34	73	47	22
RPL17P47	30	18	52	41	32	38
ZNF20	0	0	0	0	0	0
ZNF625-ZNF20	0	0	0	0	0	0
RNA5SP467	0	0	0	0	0	0
RSL24D1P8	1	0	0	0	0	0
ZNF788P	7	8	6	0	0	1
RNA5SP466	0	0	0	0	0	0
ZNF844	0	0	0	0	0	0
ZNF878	0	2	0	0	0	0
RNA5SP465	0	0	0	0	0	0
ZNF433	0	2	0	0	0	0
RNA5SP464	0	0	0	0	0	0
ZNF433-AS1	0	5	1	0	0	0
ZNF763	0	0	1	0	0	0
VN2R21P	0	0	0	0	0	0
ZNF700	26	35	14	0	0	0
VN2R15P	0	1	0	0	0	0
LOC107985276	2	0	0	0	0	0
ZNF69	4	0	1	0	0	0
VN2R14P	0	0	0	0	0	0
ZNF439	1	3	0	0	0	0
VN2R13P	0	0	0	0	0	0
ZNF440	40	35	18	0	0	0
ZNF491	2	8	3	0	0	0
LOC124904639	0	0	0	0	0	0
ZNF441	10	7	1	0	0	0
ZNF823	126	130	130	125	143	82
ZNF833P	31	29	39	19	8	7
HNRNPA1P10	15933	16692	22865	15341	13071	10563
ZNF887P	56	34	44	29	21	15
VN2R12P	4	3	3	2	1	1
ZNF627	599	569	524	585	426	282
GAPDHP76	0	1	0	0	0	0
LOC124904638	2	5	3	1	1	0
ACP5	2	1	0	8	13	18
ELOF1	1490	1094	1554	2243	2249	1854
CNN1	416	344	466	477	1429	549
RPS12P32	1	5	8	1	2	3
RPL18AP13	10	16	13	3	3	1
RN7SL833P	0	0	0	0	0	0
ECSIT	841	626	971	1007	1120	833
MIR7974	0	0	0	0	0	0
ZNF653	240	174	225	185	173	134
ELAVL3	20	49	42	19	13	13
LOC124904800	0	2	1	3	2	0
PRKCSH	8253	6964	8349	7498	7308	5153
ODAD3	50	66	102	18	11	31
RGL3	124	118	218	224	210	204
EPOR	334	360	505	154	171	201
SWSAP1	115	92	139	169	162	120
PLPPR2	371	173	315	260	216	200
CCDC159	94	78	107	62	51	74
TMEM205	1254	988	1438	1387	1171	1191
RAB3D	519	506	721	425	389	410
HSPC102	0	0	0	0	0	0
TSPAN16	2	0	0	1	0	0
ANGPTL8	1	2	3	6	2	1
LOC105372273	3	3	17	13	11	7
DOCK6	1266	1019	1044	1930	1720	1128
KANK2	1297	847	953	1533	1404	714
SPC24	1062	985	1331	828	568	624
MIR6886	0	0	0	0	0	0
LDLR	3968	4614	5180	4400	4739	2581
LDLR-AS1	4	4	3	4	2	2
RN7SL192P	1	4	1	5	4	2
SMARCA4	11563	8230	9641	14276	13202	7647
TIMM29	618	503	620	652	609	516
YIPF2	572	537	561	858	974	680
CARM1	5432	3623	4066	5942	5385	3268
HIKESHIP2	39	38	74	48	54	38
C19orf38	5	5	4	8	8	5
TMED1	1180	1229	1359	1218	1314	1028
MIR6793	0	0	0	0	0	0
MIR199A1	0	0	0	0	1	0
MIR4748	0	0	0	0	0	0
LOC124904637	0	0	0	1	0	0
MIR638	0	0	0	0	0	0
DNM2	4979	3815	4467	5742	5342	3732
QTRT1	1123	854	1164	1158	1154	856
ILF3	25552	19867	21755	29027	25099	14928
ILF3-DT	599	591	805	672	573	391
SLC44A2	4935	4038	4957	3301	2612	2087
LOC100820734	0	0	0	0	0	0
AP1M2	204	176	292	941	1804	1078
CDKN2D	80	94	102	110	100	115
KRI1	1383	1220	1380	1790	1507	1023
MIR1238	0	0	0	0	0	0
RNU7-140P	0	0	0	0	0	0
ATG4D	888	664	816	1186	1084	792
S1PR5	342	255	342	218	151	216
KEAP1	2545	1559	1944	3738	3453	2228
PDE4A	175	162	222	259	279	241
MIR1181	0	0	0	0	0	0
CDC37	5292	4516	6547	7359	7302	6152
TYK2	809	798	841	875	783	549
ICAM3	301	229	341	902	898	661
RAVER1	2955	1958	2544	4784	4246	2577
FDX2	416	302	390	500	519	410
ZGLP1	82	67	144	116	88	125
ICAM5	10	28	47	2	2	12
ICAM4	17	19	32	4	13	8
ICAM1	87	74	115	117	107	111
LOC105372272	0	0	0	0	0	0
MRPL4	1816	1470	1921	3139	3292	2706
MIR4322	1	0	0	0	1	0
S1PR2	341	263	289	180	162	136
LOC103689916	0	0	0	0	0	0
DNMT1	8484	6009	6518	8683	7396	4716
EIF3G	4148	3565	4841	5203	5569	4897
P2RY11	0	0	0	0	0	0
SNORD105B	0	0	0	0	0	0
SNORD105	0	0	0	0	1	0
PPAN-P2RY11	0	0	0	0	0	0
PPAN	159	94	129	330	265	187
ANGPTL6	6	10	3	6	7	10
SHFL	199	104	224	222	185	204
C3P1	1	1	6	1	0	0
MIR5589	0	0	0	0	0	0
RDH8	1	1	1	2	0	0
COL5A3	85	95	143	152	173	147
LOC124904636	0	0	0	0	0	0
OLFM2	1350	1119	1549	864	832	813
PIN1	1929	1634	2060	2014	1977	1695
PIN1-DT	3	5	1	3	0	0
UBL5	4244	3722	6235	4362	4337	3819
RPL10P15	16	9	25	11	12	11
LOC124900430	1	1	5	3	0	0
FBXL12	900	865	1030	1098	1084	855
LOC124904635	1	1	2	1	0	0
LOC100505555	7	3	5	6	14	3
UBE2L4	5	2	7	9	5	1
ZNF846	153	168	126	37	38	24
LOC100130854	0	0	0	0	0	0
LOC105372270	0	0	0	0	0	0
ZNF812P	6	10	3	14	5	2
RPS4XP22	2	0	0	3	2	0
ZNF562	790	888	798	720	572	293
ZNF561-AS1	192	158	216	145	106	100
ZNF561	1252	1183	1104	1338	1036	593
LOC105376914	0	0	0	0	0	0
ZNF121	1418	1492	1663	1540	1007	776
ZNF426-DT	52	58	62	38	33	31
ZNF426	717	667	681	866	703	372
LOC100418883	0	2	0	0	0	0
LOC105372268	2	2	3	9	3	1
ZNF560	0	0	0	1	0	0
LOC105372269	6	14	15	1	4	2
ZNF266	376	440	427	515	377	141
LOC112268250	1	2	0	1	0	0
ZNF177	0	0	0	0	0	0
LOC100128428	0	0	0	4	0	1
ZNF559-ZNF177	1	0	0	0	0	0
ZNF559	113	93	122	159	106	65
ZNF699	86	92	70	99	76	38
OR7H1P	0	0	0	0	0	0
OR7E19P	0	0	0	0	0	0
OR7E18P	0	0	0	0	0	0
OR7D1P	0	0	0	0	0	0
OR7D11P	0	0	0	0	0	0
OR7D4	0	0	0	0	0	0
OR7E24	0	0	0	0	0	0
OR7E25P	0	0	0	0	0	0
OR7E16P	1	0	0	0	0	1
ELOCP29	0	1	0	0	2	0
OR7D2	22	16	13	13	5	5
ZNF317	1169	905	981	1258	1126	652
OR7G3	0	0	0	0	0	0
OR7G15P	0	0	0	0	0	0
OR7G1	0	0	0	0	0	0
OR7G2	0	0	0	0	0	0
OR1M1	0	0	0	0	0	1
RPL23AP78	0	0	0	0	0	0
OR2Z1	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0
NFILZ	1	0	1	1	1	1
ADAMTS10	175	110	144	376	204	108
LOC124904633	5	5	3	3	4	6
MYO1F	51	43	40	141	61	49
ZNF414	406	313	340	555	452	307
PRAM1	13	8	11	32	12	15
HNRNPM	15060	12049	17399	24857	22116	16004
MARCHF2	518	480	567	407	323	335
RAB11B	2018	1544	1868	2901	2610	1622
MIR4999	1	0	0	0	0	0
LOC124904632	21	60	63	68	36	82
RAB11B-AS1	162	124	140	98	94	74
ANGPTL4	254	522	351	191	224	223
LOC100129682	1	1	0	2	0	0
KANK3	37	30	58	33	41	56
RPS28	9269	8253	10748	10576	11358	10067
NDUFA7	1147	1171	1467	1423	1439	1221
CD320	1508	1333	1638	2498	2365	1758
LOC107985282	0	2	2	1	3	3
CERS4	1411	1369	1448	2668	3470	2246
LOC100422633	0	0	0	1	0	0
FBN3	2103	1265	1255	1984	1405	551
CCL25	14	9	15	17	19	12
LOC105372266	65	76	79	35	32	23
ELAVL1	4409	3687	4461	5602	5287	3771
TIMM44	1878	1455	1852	3344	3381	2710
LOC124904629	12	5	15	3	3	1
CTXN1	1403	678	785	879	772	602
SNAPC2	677	556	766	571	494	468
TGFBR3L	51	24	45	25	29	38
MAP2K7	1422	1082	1262	1643	1574	1156
LOC124904630	1	4	2	0	1	0
LRRC8E	123	110	146	230	224	209
RNA5SP463	0	0	0	0	0	0
LYPLA2P2	2	1	4	5	4	4
PRR36	932	574	649	240	170	132
EVI5L	584	390	464	341	271	252
EXOSC3P2	0	0	0	0	0	0
LOC124904628	0	0	1	0	0	0
CLEC4GP1	2	0	3	4	0	2
LOC105372263	0	0	0	1	0	0
CLEC4M	0	0	0	0	0	0
RPL21P129	0	0	3	0	0	0
LOC100129391	0	0	0	0	0	0
CD209	0	0	0	1	0	1
CLEC4G	2	1	1	3	6	13
LOC105372262	0	0	0	0	0	0
FCER2	2	0	2	0	2	0
TRAPPC5	1196	995	1184	1540	1549	1434
MCEMP1	0	0	0	0	3	0
RETN	0	0	0	0	0	0
RPS27AP19	0	0	0	0	0	0
STXBP2	1409	1113	1446	1858	1747	1561
PCP2	6	11	15	1	2	4
PET100	733	733	1283	754	808	694
XAB2	1924	1619	1862	2416	2540	1989
MIR6792	0	0	0	0	0	0
CAMSAP3	872	521	682	1136	1075	729
PNPLA6	2564	1925	2075	2550	2387	1705
MCOLN1	524	359	480	596	561	385
LOC105372261	0	0	0	1	1	1
ZNF358	1819	1122	1554	1976	1845	1697
TEX45	7	16	28	6	1	3
PEX11G	27	25	22	14	19	11
LOC107985284	1	4	1	1	0	0
ARHGEF18	1883	1264	1347	2520	2242	1569
LOC124904626	1	1	0	1	0	0
INSR	1244	752	1029	1125	853	637
LOC124904625	14	31	33	19	14	10
ZNF557	176	129	165	288	265	145
MBD3L3	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0
MBD3L4	0	0	0	0	0	0
MBD3L5	0	0	0	0	0	0
MBD3L2B	0	0	0	0	0	0
LOC112268245	0	0	0	0	0	0
FLJ25758	0	0	0	0	0	0
ADGRE4P	1	1	0	3	6	1
LOC105372256	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	2
VAV1	4	3	6	311	261	309
SH2D3A	91	113	153	496	591	493
LOC124904623	7	8	6	13	13	8
TRIP10	1843	1827	2226	3016	3351	2287
MIR6791	0	0	1	1	5	2
GPR108	987	935	1050	1237	1327	956
C3	100	101	171	280	267	218
TNFSF14	7	3	0	76	226	45
RPL7P50	0	1	0	2	4	2
CD70	51	41	65	102	159	129
CLIC4P2	0	0	1	1	1	0
LOC100421483	0	2	0	0	0	2
TNFSF9	99	149	149	854	1071	809
TUBB4A	880	442	893	1250	856	1032
DENND1C	115	134	226	242	311	249
CRB3	55	52	61	324	473	337
SLC25A23	2283	1754	2280	2361	2299	1590
SLC25A41	13	10	10	45	48	52
MIR3940	0	0	0	0	0	0
KHSRP	14947	10308	13521	19930	18190	11522
LOC390877	0	0	0	2	0	0
MIR6790	0	0	0	0	0	0
MIR6885	0	0	0	0	0	0
GTF2F1	3010	2409	2996	4150	4151	2799
PSPN	10	2	16	8	2	13
ALKBH7	1556	1221	1494	1383	1405	1141
CLPP	1531	1127	1484	2103	2115	1827
ACER1	0	0	2	0	0	0
MLLT1	2435	1631	2230	3250	2880	2151
ACSBG2	15	9	10	18	4	9
LOC105372255	10	13	20	13	1	7
LOC100128144	0	0	0	0	0	0
RFX2	253	254	215	41	40	55
RANBP3-DT	10	26	24	8	4	3
RANBP3	2916	2129	2674	3347	3041	2228
DUS3L	798	658	675	1333	1338	892
PRR22	72	46	88	265	210	166
CATSPERD	0	0	0	1	0	0
LONP1	4270	3983	4402	5722	5442	4414
RPL36	10477	9595	12035	11941	13648	10546
HSD11B1L	331	361	362	64	68	93
MICOS13	449	419	517	509	618	669
LOC107985320	18	4	8	18	13	13
SAFB	5928	5600	6366	8830	8032	5324
SAFB2	3244	2547	3001	5125	4704	2998
SNRPEP4	230	205	338	223	194	146
TINCR	41	41	43	35	45	54
LOC124904622	0	0	1	0	0	0
ZNRF4	1	0	0	0	0	0
LOC105372252	0	0	0	1	0	0
LOC105372253	8	4	4	5	2	1
RPL32P34	0	1	0	0	0	0
PTPRS	10424	7445	7173	4095	2673	2179
KDM4B	2128	2807	2089	1686	1566	990
MIR4747	0	0	0	0	0	0
UHRF1	5388	2726	3720	5459	4011	2976
ARRDC5	2	0	1	1	0	0
PLIN3	3194	2763	3425	3933	3654	2701
TICAM1	23	21	40	27	50	34
FEM1A	1715	1136	1302	2278	2293	1398
LOC124904620	2	3	4	2	4	3
MIR7-3	0	0	0	0	0	0
MIR7-3HG	1	0	0	1	0	0
TRV-CAC3-1	0	0	0	0	0	0
TRG-TCC1-1	0	0	0	0	1	0
LOC105372250	0	0	0	0	2	0
DPP9-AS1	19	13	12	36	38	20
DPP9	1028	718	788	2305	2378	1282
MYDGF	1205	1222	1448	1772	2271	1603
TNFAIP8L1	501	635	551	429	383	268
LOC100287614	0	0	0	1	0	0
LOC105372249	25	32	56	9	10	12
SEMA6B	2509	1002	1675	2076	1491	1381
LRG1	10	7	9	43	28	30
PLIN5	38	35	56	34	20	35
PLIN4	24	18	29	98	69	58
HDGFL2	4431	3735	5232	4611	4207	4182
MIR4746	0	0	0	0	0	0
UBXN6	248	219	188	322	314	214
CHAF1A	4695	3015	4003	6093	4920	3379
SH3GL1	4153	2656	3087	5735	5672	3821
EIF1P6	4	0	2	16	6	2
MPND	777	558	645	554	514	448
STAP2	107	145	214	234	230	251
FSD1	1883	1466	1712	981	772	893
TMIGD2	9	5	10	9	0	2
SHD	71	25	94	32	31	48
YJU2	687	488	628	1033	1016	790
EBI3	11	23	29	76	97	70
ANKRD24	305	158	271	121	83	139
SIRT6	496	388	449	640	641	554
CREB3L3	12	16	16	25	24	33
MAP2K2	4519	3530	4825	5228	5188	4265
ZBTB7A	441	245	340	718	551	350
PIAS4	1339	949	1126	1787	1631	1060
SNORD37	2	6	1	6	8	2
EEF2	100956	79773	90778	83142	82000	60041
MIR637	9	7	9	11	10	6
DAPK3	1482	1040	1317	2541	3154	2001
NMRK2	599	496	789	1786	1751	1431
RN7SL202P	0	0	0	0	0	0
ATCAY	947	519	792	714	460	618
FTLP5	0	0	0	0	0	0
ZFR2	546	440	581	612	477	490
MATK	168	123	207	140	236	261
RAX2	0	0	0	0	0	0
MRPL54	591	500	654	885	925	700
LOC105372248	0	1	0	1	0	0
APBA3	559	492	558	667	651	531
TJP3	416	314	426	412	539	440
PIP5K1C	1658	997	1176	2676	2212	1416
CACTIN	891	597	703	1000	951	687
CACTIN-AS1	5	8	9	10	8	2
TBXA2R	32	8	25	50	49	56
GIPC3	51	36	50	55	49	63
HMG20B	2436	2354	3194	2316	1836	1881
LOC124904618	31	17	20	31	26	26
TEKTIP1	94	105	74	121	61	66
MFSD12	959	739	810	1503	1335	1209
LOC124904617	7	10	0	17	7	5
FZR1	1503	1096	1169	1535	1582	1120
LOC105372245	7	4	19	10	27	13
DOHH	390	280	322	751	775	596
LOC105372246	1	1	1	1	1	1
SMIM44	1	2	0	4	0	0
SMIM24	32	57	118	141	125	180
NFIC	180	112	158	312	263	147
LOC105372244	0	1	2	1	0	0
CELF5	476	259	355	120	46	68
NCLN	3771	2396	3003	5415	5677	3929
S1PR4	3	1	0	1	0	5
GNA15-DT	0	1	0	0	1	0
GNA15	4	3	4	2	1	2
LOC390876	0	0	0	0	0	0
LOC124904615	0	0	0	0	0	0
GNA11	1312	841	956	2267	2322	1342
LOC105372242	0	0	0	0	0	0
TLE5	4424	2894	4047	6406	6404	3525
TLE2	102	36	90	335	604	163
TLE6	67	42	68	103	80	32
ZNF77	204	235	212	163	160	114
ZNF57	165	150	166	190	163	142
LOC100419704	0	1	0	0	0	0
LOC107985264	0	0	0	0	0	0
ZNF556	4	1	0	1	1	0
ZNF555	221	273	240	234	182	170
ZNF554	323	227	292	358	276	212
THOP1	3776	2644	3040	3848	3790	2777
SGTA	4014	2463	3227	4976	5187	3850
SLC39A3	958	654	831	1314	1282	1069
DIRAS1	809	367	664	613	458	386
MIR7850	0	0	0	0	0	0
RN7SL121P	0	0	0	1	0	0
ELOCP28	1	0	0	0	2	0
LOC124904789	0	0	0	0	0	0
GNG7	479	303	465	254	153	209
RNU6-993P	0	0	0	0	0	0
LOC124904614	0	0	0	0	0	0
GADD45B	50	72	74	314	523	326
LINC01775	10	11	2	5	4	0
MIR7108	0	0	0	0	0	0
