Gene	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Trophectoderm	Primitive 	epiblast	hESC p0	hESC passage10
CTRL	0	0	0	0	0.054	1.373	1.185	4.253	8.698	1.444	1.175
PAK4	6.703	7.58	6.996	13.212	7.714	5.007	6.584	5.061	7.058	4.434	9.909
RNF10	188.949	155.86	180.255	232.479	50.644	26.616	32.155	30.719	24.859	28.424	29.654
CCRL1	0.44	0.824	0.663	0.764	0.005	0	0	0	1.015	0.04	0.026
ZNF567	3.359	2.186	1.825	1.791	1.388	2.637	3.28	7.44	2.163	14.795	7.982
FAT1	7.781	3.699	2.72	6.482	3.567	1.96	1.3	0.329	0.153	4.504	5.431
ZNF660	0	0	0	0	0	0	0	0	0	1.046	1.703
TCEAL3	0	0.047	0	0	0	0.152	0	0	0	0.428	6.599
MAGOH	638.922	226.663	226.358	310.327	198.133	70.267	47.941	78.617	87.487	53.157	47.237
CENPB	0	0.036	0.039	0.085	0.448	0.485	1.531	3.102	1.47	1.281	1.512
ZCCHC13	0.048	0	0.102	0.303	0	0.143	0	0	0	0	0
HIST1H4H	1.113	19.475	11.486	9.02	20.365	10.816	0.016	0	0	1.868	1.431
MBOAT4	0	0	0	0.083	0.064	0	0	0	0	0	0
SNHG12	1.007	0.255	0.372	1.671	22.152	37.006	22.873	57.493	16.937	25.303	28.184
TBRG1	16.027	10.985	8.93	11.895	19.022	18.98	12.089	4.712	18.101	7.419	10.26
LOC729678	2.591	5.765	4.591	9.577	1.775	0.839	0.026	5.862	1.237	2.376	1.15
GPC3	4.415	1.52	1.627	0.128	2.758	0.652	0.818	6.783	3.06	14.557	26.128
TAF1C	0.294	0.784	1.057	1.774	6.07	6.46	1.1	1.477	0.101	4.162	7.153
EBNA1BP2	6.18	3.332	2.812	6.873	226.333	244.322	217.026	146.084	122.319	109.738	96.143
PDGFRA	0	0	0	0.246	0.759	0.045	0.103	5.088	11.17	0.921	0.795
CIAPIN1	115.962	58.158	50.187	73.973	28.007	25.104	36.406	40.275	32.476	40.083	47.036
CSTB	16.805	389.074	323.023	257.429	49.423	8.591	110.508	273.326	74.583	195.586	206.126
ANXA2P1	0	0	0	0	0	0.037	3.95	0.519	1.993	0.108	0.054
CENPI	7.771	7.385	4.409	8.032	5.72	2.363	2.385	1.519	0.046	2.154	2.229
RPP21	122.033	91.713	67.191	68.147	50.456	33.593	79.744	80.583	60.727	45.255	109.138
GTF2E2	1.411	3.438	1.938	3.884	54.522	31.324	41.142	14.397	14.042	15.801	11.134
ZNF737	1.864	2.731	1.848	1.178	2.492	2.163	0.9	1.108	0.979	1.254	0.645
FPR2	0	0	0	0.177	0	0	0	0	0	0	0
CCNF	0.633	3.976	2.818	3.579	18.156	15.911	11.151	3.651	17.407	10.96	7.467
KCNQ3	0.602	0.774	0.422	0.444	0.023	0	0	0	0	0.06	0.42
HIGD2B	0.096	0.326	0.197	0.525	0.075	0.256	0	0	0	0	0
NOVA1	0.254	0.45	0.532	0.082	0.558	0.4	0	0.402	0	2.931	3.065
LOC286367	0	0	0	0	0.147	0	0	0.433	1.954	0	0.186
LOC100133308	0	0	0	0.038	0.006	0	0	0	0	0	0
FZD3	85.311	55.618	35.855	37.388	13.168	9.169	6.069	8.528	5.875	13.019	10.397
AKAP8	4.79	3.694	2.321	5.966	85.939	56.325	15.743	11.443	7.231	11.335	9.867
SOCS5	1.157	2.821	1.736	3.054	7.013	3.762	2.723	1.636	10.91	8.732	1.689
CFDP1	42.455	22.086	13.04	12.44	90.246	107.925	75.95	120.425	42.767	75.287	78.175
DLG5	1.568	1.288	0.92	2.661	0.617	1.228	5.308	2.909	6.762	3.48	3.779
PGM5	2.392	2.85	1.55	2.906	0.386	0.182	0	0	0	0	0.01
C1orf144	11.064	24.094	18.705	29.829	39.251	52.368	45.812	38.165	39.589	29.587	29.581
RND2	0.402	2.468	2.394	1.893	0.987	2.001	2.068	3.04	8.887	14.417	19.835
HDAC10	0	0	0	0	0.019	0.123	0	0.717	0	0.186	0.465
C19orf69	0	0	0	0.098	0	0	0	0	0	0	0
C10orf105	0	0	0	0.05	0	0	0	0	0	0	0
LOC728723	0	0	0	0.009	0.906	0.159	0	1.71	0	0.184	1.096
RNMT	4.771	8.226	6.6	3.183	17.061	34.217	11.783	8.031	14.318	12.656	10.872
ASTN1	0	0	0	0	0	0	0	0	0.023	0	0.157
SH3BGR	8.12	8.822	4.933	5.227	1.616	2.1	0.094	0	0	1.974	5.314
MYCL1	0	0.059	0.131	0.026	2.468	11.436	1.657	9.382	19.137	2.015	3.704
ZHX1	64.613	54.492	39.392	49.783	30.279	15.039	0.564	7.814	10.538	2.342	2.277
CENPK	57.834	48.555	40.712	34.098	8.095	6.783	12.283	8.039	6.95	26.642	15.492
FOSB	6.126	6.727	5.706	11.362	3.823	0.603	0.572	2.257	0	50.578	10.882
LOC643406	0	0.318	0.215	0.724	1.974	6.043	1.286	0.662	2.058	3.054	4.222
LOC100144602	0	0	0	0	0.111	0	0	0	0	0	0.013
TMEM135	0.38	0.701	0.339	0.532	0.257	0.736	1.027	2.749	3.353	2.907	1.501
SLC27A2	6.534	2.158	1.012	0.431	0.515	0.026	18.913	20.762	6.385	0.736	4.986
DUX4L2	0	0	0.02	0.306	0.007	0	0	0	0	0	0
SNORD91B	0	0	0	0	0	0	0.1	0	0	0	0
OVOL1	0	0	0.021	0.792	10.127	8.221	11.504	9.327	9.188	2.147	1.598
S100A7	0	0	0	0.24	0	0	0	0	0	0	0
ZNF789	0.086	0.258	0.145	0.854	11.214	11.575	11.641	2.099	8.15	3.555	4.409
HARS2	2.557	1.381	0.785	1.216	7.567	5.992	19.671	7.668	9.148	9.101	11.173
UPF3B	42.748	43.62	16.229	9.163	68.767	37.857	35.863	16.692	33.003	61.945	91.881
RPL23A	347.637	241.911	568.856	1384.15	1160.141	920.249	795.338	1466.77	470.445	1283.539	779.73
C17orf78	0	0	0	0.155	0	0	0	0	0	0	0
HLA-DOB	0	0	0	0	0	0.012	0	0	0	0	0
C14orf142	0.519	4.855	2.243	2.399	16.671	26.957	5.462	9.612	9.536	6.372	5.782
UBE2V1	33.611	71.803	74.322	129.508	45.811	55.484	90.786	81.161	70.257	99.276	96.312
TEKT5	0.325	1.201	0.657	1.745	0.461	0	0.424	0.189	0	0	0.008
POLD1	2.072	3.038	2.408	3.088	4.988	5.768	10.672	16.579	30.915	13.902	18.443
DMWD	3.383	4.086	4.513	5.195	2.587	2.108	2.026	3.34	1.936	3.455	11.007
CALD1	0	0	0	0.085	0.12	0.022	45.296	42.155	15.905	15.43	72.565
SCRT1	0	0	0	0	0	0.032	0	0	0	0	0
AIG1	0.617	2.084	0.964	1.523	0.593	0	0	3.327	0	23.528	31.333
POM121C	31.402	28.494	32.682	31.337	26.971	15.92	16.753	9.702	17.087	13.759	14.187
ZNF404	0.925	2.138	1.819	1.942	0.444	0.054	0.019	0.368	0	2.634	1.186
TMED6	0.035	0.096	0.023	0.27	0.726	1.04	3.647	1.046	0	0	0.181
KIAA1462	0	0	0	0	1.347	0.452	5.412	3.504	4.049	0.107	0.166
LRRC27	0.63	1.333	0.907	1.408	0.805	1.59	0.953	0.192	0.665	0.966	0.809
PYGO1	1.024	0.861	0.43	0.626	4.135	4.78	3.373	0	0	0	0.471
PIGU	57.632	131.012	79.705	68.386	12.063	15.014	12.2	20.776	10.774	15.209	18.707
NSFP1	2.902	3.514	2.684	4.714	1.844	0.989	1.417	0.795	0	3.192	3.149
WRNIP1	41.511	8.797	3.497	5.807	5.928	9.697	29.854	24.375	9.972	21.134	11.367
ALAS2	0	0	0.025	0.04	0	0	0	0	0	0	0.004
CNNM3	1.319	1.105	1.145	0.83	1.242	4.007	11.179	11.473	6.421	5.726	5.394
ZNF2	2.019	8.041	5.254	8.586	5.565	5.127	1.57	0.819	1.314	3.157	3.756
ST3GAL5	3.887	4.552	1.348	3.94	0.448	2.358	0	0	0	0.937	0.597
MRPL23	0.154	0.072	0.074	0	0.141	0.21	2.179	0.853	1.284	0.586	1.169
TSSK6	0	0	0	0.095	1.401	0.66	0	0	0	0.083	0.605
TYW1	26.265	15.105	26.572	22.835	23.613	16.183	11.737	8.344	9.564	19.739	10.449
ANO3	1.109	0.665	0.508	0.937	0.672	0.456	0	0	0	0	0
CSDAP1	0.034	0.149	0.101	0.149	0.114	0.51	0.749	0.168	0.624	0.658	0.759
PSMA6	28.744	45.03	32.815	66.904	301.429	488.183	464.172	325.99	266.517	317.423	322.466
C10orf113	0	0	0	0	0	0	0	0	0	0.045	0
C16orf70	22.333	23.236	15.275	29.715	30.508	30.454	10.469	7.29	22.215	10.78	12.643
ZNF823	1.11	8.046	6.31	6.296	44.406	21.553	10.077	6.795	19.118	1.328	2.791
KIAA0564	2.304	1.573	0.856	1.229	1.148	0.849	3.739	2.02	4.94	2.604	1.762
ALMS1	21.706	15.122	13.952	25.858	7.739	3.253	1.727	0.262	2.512	3.311	3.211
LOC400931	0.281	0.35	0.477	0.521	1.09	1.855	0.988	0.457	0.626	1.421	1.877
TMEM132D	1.829	5.863	2.713	6.084	2.038	0.736	0.008	0	0	0.31	1.208
DCN	0	0	0	0	0	0	0	0	0	0	0
SUCLG2	0.756	0.74	0.4	0.948	0.347	1.997	7.481	14.324	5.389	21.878	14.963
JMJD7-PLA2G4B	0.217	0.74	0.69	1.326	0.389	0.203	0.177	0.248	0.327	0.961	1.064
FAM47E	1.149	0.224	0.249	0.936	0.193	0	0.072	0	0	0.386	0.726
ABHD14A	0.284	1.263	0.843	0.883	0.098	0.211	0.279	2.285	0	0	0.92
SNORA72	0	0	0	0	1.052	1.387	0.04	0	0.109	0.784	0.686
DEXI	0.137	0.719	0.664	0.415	1.003	2.476	4.646	9.165	14.572	7.519	5.802
AMPD2	6.343	7.813	7.421	7.969	3.075	3.075	1.481	0.052	1.929	7.456	5.764
IFNAR2	20.493	20.83	16.955	11.278	3.157	3.915	1.749	2.052	0	0.582	1.388
CYB5A	293.107	79.252	80.199	68.159	20.071	4.089	55.939	33.353	23.931	101.756	106.19
NXF5	0	0	0	0.059	0.033	0.09	0.081	0	0	0.013	0
NRBF2	3.603	5.927	3.49	9.346	381.264	300.145	75.811	62.893	75.892	56.757	34.306
P2RY11	0	0.051	0.134	0.225	1.632	2.909	2.381	0.838	6.059	1.556	6.243
KCTD3	6.665	7.298	4.518	8.078	6.473	7.808	21.968	11.491	6.548	33.868	17.238
ITGAE	16.338	6.373	4.644	9.361	2.93	1.48	4.204	5.109	7.417	3.377	4.635
SLC30A3	1.672	6.297	4.855	5.347	2.167	0.266	0.124	0	0	1.649	8.087
IFRD2	0.237	0.054	0.058	0.438	16.022	24.659	46.094	71.768	26.088	35.819	35.015
PYCR2	1.569	2.947	5.293	3.953	0.946	1.534	1.25	5.204	0.4	5.585	4.156
TMLHE	0	0	0	0.057	0	0.092	0.937	0	0.762	0.318	1.71
SERPINB3	0	0	0	0	0	0	0	0	0	0	0.572
GEFT	0	0	0	0	0.02	0	0	0	0.09	0.028	0.023
ABCA5	4.411	3.176	2.383	3.367	1.752	0.833	0.007	0.401	1.459	0.697	1.006
TSFM	28.642	17.275	11.926	21.944	64.408	69.002	30.319	50.047	59.638	29.489	19.358
ARHGEF19	0	0	0	0	0.216	0.637	0.109	0.22	0	5.617	4.363
HIST3H2BB	0.037	0	0.053	0.078	0.517	0.014	0	0	0	1.066	0.268
TSPAN17	0.255	0.468	0.455	0.214	1.334	4.391	2.624	0.435	0.08	10.672	16.503
ABCC8	0	0	0	0.017	0.043	0.01	0	0	0	0	0.094
MAP1S	1.295	6.009	8.537	9.425	8.857	14.012	6.027	2.898	1.818	6.172	12.923
C22orf36	0	0	0	0.135	0.007	0	0	0	0	0	4.655
BNC2	0.13	0.192	0.189	0.41	0.102	0.24	0.01	0	0	2.121	3.199
HIST1H4A	0.383	3.853	1.772	1.276	0.972	3.074	0	0	0	0	0.884
NDUFS3	66.052	20.928	21.633	31.983	39.699	57.415	159.131	190.529	162.187	117.955	140.437
WDR3	0.056	0.115	0	0.06	37.197	16.766	17.667	11.276	16.821	21.753	14.304
XKR4	0	0	0	0	0.088	0.057	0	0	0	1.139	1.208
C15orf54	0	0	0	0.023	0	0	0	0	0	0	0
TTC33	1.144	2.278	1.445	1.796	1.986	3.768	1.972	0.459	3.433	1.233	1.426
STMN2	0.13	0	0	0.112	0.016	0.245	0	0	0	0	0
LPPR5	0	0	0	0	0	0	0	0	0	0.475	0.56
CPN2	0	0.14	0.068	0.024	0.005	0	0	0	0	0	0
PCOLCE2	68.374	16.657	7.989	11.988	1.958	1.609	0	0	0	4.701	6.206
C3orf55	0	0	0	0.045	0.007	0	0	0	0	0.248	0.206
CBY3	0	0.075	0.017	0	0.023	0.01	0	0.061	0	0	0
TPI1P3	0.038	0	0	0.263	0.257	0.051	3.567	1.494	3.466	2.999	1.038
KLHDC9	0.862	0.811	0.508	1.018	0.134	0	0	0	0	2.337	7.922
ALG1	0.819	3.574	2.957	6.381	6.089	5.396	9.049	7.303	3.288	5.42	9.559
TBC1D23	89.603	94.443	91.288	88.88	49.864	42.889	13.958	27.994	48.293	33.112	13.481
LOC646201	0	0	0	0	0.436	0	0.031	0	0	0	0
MAP2K3	7.017	10.347	6.401	14.747	5.461	0.763	1.109	9.234	2.625	20.782	13.861
ATXN2L	24.07	30.483	37.864	36.317	6.419	1.553	3.137	3.224	1.057	2.207	2.008
SCAP	1.193	16.769	21.081	29.124	6.35	2.871	8.634	8.193	18.755	7.09	11.885
ZNF486	1.142	1.992	1.997	2.071	36.369	50.646	13.133	0.938	15.044	2.757	4.898
C20orf96	10.476	9.695	9.926	10.174	3.779	5.746	0.014	0.145	0	0.875	1.406
NARS	10.429	48.797	39.732	33.862	25.928	55.336	169.401	179.51	92.528	82.884	83.352
MIR483	0	0	0	0	0	0	0	0	0	0	0
PRCC	57.846	45.351	32.549	53.979	42.207	40.721	31.156	45.364	46.468	49.22	45.77
ADAMTSL1	4.913	7.17	5.137	12.741	1.691	0.052	0	0	0	0.069	0.209
CCDC126	7.929	4.756	2.683	5.481	7.6	10.986	2.132	0.196	1.169	1.672	0.594
ZNF675	2.43	1.286	1.485	2.087	51.004	78.943	13.771	6.368	27.284	19.485	8.426
TMEM215	0	0	0	0	0.079	0	0	0	0	1.203	0.329
SMAP2	1.807	4.359	2.077	3.992	3.679	4.459	1.344	0.497	0.205	3.037	2.137
ANKRD43	0	0	0.027	0.136	0.889	0.163	5.607	0	0	0	0.082
CALCOCO1	0.943	4.185	3.988	12.569	3.6	0.831	1.366	0.353	0	0.264	0.841
CWF19L2	15.599	43.382	52.692	26.118	9.706	8.007	7.439	2.813	2.851	7.907	10.849
ZBTB32	0	0	0	0.015	0	0.275	0	0	0	0	0.282
LOC644538	0	0	0	0	0.237	0.019	2.14	0.444	0.027	1.93	2.905
ODF4	0	0.139	0.114	0.412	0.032	0.272	0	0	0	0	0
BRAF	1.086	2.372	1.111	3.985	2.174	4.629	6.033	8.857	6.883	2.081	1.676
HORMAD1	0	0	0	0.419	3.851	1.993	1.089	6.627	23.339	0	0
PEBP1	269.297	214.258	182.642	155.025	35.221	28.828	269.249	720.669	316.082	754.722	1074.348
AAK1	0.369	0.81	0.708	0.686	1.163	1.347	3.095	0.643	1.716	3.694	2.581
RMND1	5.415	4.016	2.074	7.767	48.839	74.922	36.734	42.788	69.046	38.224	20.811
COL1A2	0	0	0	0	0.018	0	0	0	0	6.13	17.473
SERPINA5	0	0	0	0	0.435	0	0	0	0	0	1.242
AANAT	0	0.142	0.283	0.027	0	0.031	0	0	0	0.252	0.406
C19orf21	0	0	0	1.098	1.853	11.279	11.224	16.527	1.487	0	0.017
GEMIN5	771.204	620.204	1004.659	351.597	51.26	21.628	13.804	11.164	14.787	17.564	18.533
UBR4	5.333	4.507	3.648	3.787	1.991	2.311	5.052	3.33	5.321	19.333	8.188
LTBP3	0	0.337	0.239	0.278	0.145	0.125	0.144	0.162	0.223	0.063	0.183
PSIMCT-1	0	0	0	0	1.796	0.519	0.919	0.153	0.024	1.472	5.359
AMHR2	0	0	0	0.026	0.735	0.8	0	0.083	4.164	0	0
PROCR	1.027	0.714	0.53	0.687	6.505	9.621	19.922	33.263	20.497	15.736	6.307
MYBBP1A	0.694	6.048	4.716	8.5	3.929	2.727	3.677	3.121	6.663	2.061	4.936
ZNF697	0.483	1.071	0.698	1.285	0.19	0.589	2.419	2.133	2.386	3.095	4.741
PASK	25.806	13.757	6.911	10.055	1.319	0.297	2.903	2.063	0.103	3.577	5.005
ZNF776	0.97	2.282	1.613	1.698	2.336	1.152	0.131	0.679	1.708	0.599	1.133
FLJ43663	1.798	1.604	0.759	1.291	0.295	0.277	0.418	0	0	0.791	0.684
KIAA0467	0	0.124	0.153	0.178	0.089	0.202	0.062	0.5	1.105	0.034	0.138
C10orf96	0.079	0	0.026	0.06	0.495	0.627	0	0	0	6.313	4.104
ZNF503	0	0.033	0.018	0.509	1.677	1.434	0	0.806	2.142	0.77	0.326
FAM75C2	0	0	0	0.022	2.024	0.195	0	0	0	0.125	0.262
GULP1	0	0	0.021	0	0.223	0.912	9.125	5.474	5.505	51.797	28.021
KCNE4	0.664	0.283	0.309	0.148	0.228	0.303	0.219	0.02	0.17	0.063	0.093
CH25H	0	0	0	0.009	0.253	1.842	0	0	0	1.578	1.669
LOC81691	1.571	0.716	0.409	0.536	3.7	2.536	1.077	0	1.634	1.494	1.119
ALPL	0	0.044	0.018	0.032	0.649	12.825	105.42	24.304	98.261	58.177	53.981
COL12A1	8.311	2.742	0.704	0.785	0.466	0.037	0	0	0	0.618	0.644
MIR1287	0	0	0	0	0	0	0	0	0	0	0
FOLR3	0	0	0	0.921	0.316	0.306	0.021	4.511	5.242	0	0.084
GPR123	0	0	0	0	0	0	0	0	0	0	0
TRIM62	24.11	9.797	11.261	12.767	2.335	1.234	0.006	0	1.294	3.186	1.223
ABLIM1	1.337	0.421	1.139	1.441	0.642	3.338	0.607	0.13	6.184	9.969	12.71
MAST3	0.041	0.79	0.653	1.213	18.306	18.048	0.127	0.074	0.024	1.893	1.899
RHBDD1	16.178	17.147	13.992	26.938	7.425	0.995	1.088	0	0.277	3.813	2.144
RYBP	19.482	11.928	9.381	6.404	38.151	15.247	36.12	14.269	45.17	38.195	18.274
TTC26	0.938	3.582	1.156	2.704	2.442	2.544	0.613	0	1.05	2.911	3.056
ZNF22	141.928	106.766	99.543	82.281	24.472	18.424	14.32	8.398	44.054	48.107	47.316
ISCA2	0.417	2.465	1.632	2.709	13.497	18.01	41.098	49.516	46.763	47.649	45.605
PNP	6.658	1.887	1.459	18.687	167.845	129.091	6.201	26.71	31.67	90.612	69.418
RDM1	0.372	0.238	0.217	0.262	0.405	1.86	1.15	1.518	0.173	0	1.737
C15orf61	24.196	22.377	14.035	8.654	6.539	0.937	0.066	10.219	0.108	0.025	0.569
PIGM	1.428	2.324	1.251	1.118	0.407	3.025	1.565	1.503	2.677	5.977	7.881
GNB3	2.652	0.9	1.599	2.903	1.145	0.157	0	0	0	0.206	0.334
ACTR2	43.312	59.287	48.73	62.262	15.191	24.933	49.896	15.431	21.318	40.473	24.087
HMGB1	462.363	406.866	306.806	157.583	170.739	631.821	680.848	347.721	387.752	480.307	602.112
SOAT2	0	0	0	0.018	6.219	14.884	0.211	1.826	7.756	0	0
RAP1GDS1	1.938	2.622	1.367	2.853	48.908	19.025	12.766	18.025	26.343	4.735	5.3
OR10AD1	0	0	0	0	0.122	0	0	0	0	0	0
SNORA60	0	0	0	0	0	0.337	0	0	0	0	0
ESM1	0	0	0	0	0	0	0	0	0	0	0
RCN3	0	0.286	0.139	0.432	1.819	3.722	0.005	0	0	4.558	2.141
C17orf103	1.309	2.625	2.051	2.468	4.579	23.541	1.739	2.969	3.535	8.851	3.386
PTGER3	0	0	0	0	0.372	0.293	0	0	0	0.197	0.076
DBNL	0.186	1.44	1.37	1.636	1.626	10.26	11.727	12.131	3.939	15.036	17.136
USP30	13.29	17.853	7.575	9.799	4.245	5.243	4.277	5.171	5.896	2.038	2.036
LOC151009	4.887	4.393	4.397	3.913	0.505	0.049	0.337	0	0	0.097	0.036
KANK1	2.936	2.69	1.309	2.754	0.499	1.123	4.657	3.624	14.449	3.961	2.538
BCL2L12	29.972	13.215	7.389	11.874	5.351	5.985	15.13	24.03	17.268	26.357	26.657
KIF26B	13.493	13.552	12.044	13.368	0.845	0.092	0	0	0	0	0.005
ZNF416	1.347	34.859	28.323	34.445	24.412	13.331	0.965	0.104	1.731	3.343	1.764
ZNF225	0.081	5.535	3.251	3.087	0.514	1.281	0.866	0	0	0.266	1.128
C17orf70	0.39	0.943	0.636	1.407	1.291	1.191	3.611	3.533	1.752	3.005	2.76
ZNF554	8.264	7.926	5.964	12.944	3.31	1.5	1.983	0.168	4.337	0.461	0.75
RAE1	108.124	139.216	121.724	271.076	105.099	141.115	41.686	53.63	55.813	50.183	44.624
UBTFL1	0	0.034	0	4.314	96.913	39.034	0	0	0	0	0
TNIK	33.015	36.116	36.865	34.119	11.523	5.14	2.667	1.599	1.831	4.78	5.006
ACTN3	0.091	1.967	1.934	4.261	0.675	2.326	0	0	0	3.364	3.78
CCNA1	0.327	0.198	0.041	13.216	348.661	58.469	2.035	0	0	3.093	5.512
RYK	1.711	2.121	1.154	0.286	3.887	3.424	16.26	11.739	23.381	18.606	16.969
IL26	0	0	0	0.015	0.103	0	0	0	0	0	0
QARS	39.915	33.278	25.163	112.804	70.122	17.972	155.293	217.134	195.32	90.41	103.183
LRP3	0	0.405	0.335	0.422	0.022	0.009	0.187	0	0	3.417	1.376
SOX7	4.45	3.28	1.667	2.973	0.222	0.667	0.024	0.733	0.056	7.491	5.67
OR2S2	0	0.109	0	0.63	0	0	0	0	0	0	0
BID	1.014	0.557	0.482	0.333	0.97	0.14	3.098	0	0	19.714	33.68
BASE	0	0	0	0	0	0	0	0	0	0	0
CXCL14	0	0	0	0.951	5.61	1.372	0.722	0	0.74	0.546	0.604
LOC284276	0	0	0.026	0.168	0.067	0.147	0.127	0	0.103	0.027	0.067
PRDM14	0	0	0.026	0.056	1.116	14.245	0.263	8.6	48.521	23.342	34.529
HSPB8	0	0	0	0.355	0	0	0.117	0.215	0	1.312	0.82
NUFIP2	2.987	6.923	10.078	6.621	13.727	16.801	7.186	5.68	5.219	11.447	8.493
MNAT1	27.307	26.614	17.12	13.943	1.807	7.011	10.937	15.136	4.406	47.619	14.602
ZDHHC2	1.367	1.583	1.018	1.297	0.39	0.461	0.635	0.095	0	2.61	1.739
MBNL2	0.437	0.488	0.278	1.57	0.4	0	0.008	0.844	0	0	0.088
ADD3	385.65	412.243	450.755	242.559	42.104	18.116	16.931	32.423	49.459	17.112	23.081
DKFZp686O1327	1.684	1.618	1.123	1.804	0.344	0.032	0.055	0	0	0.113	0
KLK6	0	0	0	0.057	0.039	0.051	0	1.55	0	0.187	0.723
CSNK2A1P	5.559	7.922	7.817	12.462	7.176	9.642	5.676	4.734	6.695	4.302	6.857
TMEM111	39.78	39.927	28.63	57.726	50.266	145.687	65.303	48.842	30.262	20.636	50.861
KIAA1279	106.002	123.668	80.547	74.464	8.222	7.059	9.425	5.43	39.208	29.531	20.721
RAB42	2.449	0.71	1.102	1.769	3.66	17.003	4.117	3.229	12.628	2.699	6.127
NUBP2	0.693	1.591	1.491	3.123	31.238	50.355	42.018	88.525	56.426	43.957	66.201
ID3	15.239	2.788	4.228	8.086	4.056	5.876	19.715	42.308	36.559	536.006	269.096
TM9SF1	15.553	8.066	6.054	9.51	1.951	5.57	9.248	5.503	10.121	8.102	6.489
FCRL6	0	0	0	0.029	0	0	0	0	0	0	0
POU4F2	0.349	0.534	0.134	0.067	0.099	0.559	0	0	0	0.73	0
IQCK	2.658	2.333	1.169	5.758	7.57	4.088	2.523	1.746	1.029	3.568	6.383
CAPN3	3.942	4.749	3.487	10.012	4.139	1.7	0.011	0.055	0	0.132	0.082
SCARNA23	0	0	0	0	0.326	0.229	0	0	0	0	0.096
FAM43B	0	0	0	0.036	0.704	0.734	0.028	0	3.62	0.052	0.056
RECQL	8.056	7.125	3.16	1.728	5.995	4.772	9.276	12.913	18.061	12.227	14.494
AP1G1	3.117	8.988	6.18	7.228	33.473	22.645	8.456	3.883	8.208	7.094	5.943
CTNNBL1	4.561	12.33	10.568	22.704	118.853	75.013	33.948	41.207	44.237	43.246	43.194
ECHDC1	1.812	4.116	2.681	6.225	5.914	12.313	5.785	3.664	3.848	22.377	43.567
SMARCC1	48.159	45.97	39.246	29.106	21.071	28.18	69.438	50.624	37.536	100.029	128.028
FOXQ1	5.608	9.281	4.564	0.739	0.084	0.027	0	0	0	0.132	0.336
KBTBD13	0	0.051	0	0	0	0	0	0	0	0	0
GNAI3	10.832	29.086	24.179	34.687	66.318	35.827	25.814	22.883	23.155	29.846	31.84
LOC642236	9.424	15.004	16.653	13.609	12.24	24.277	7.454	5.792	14.35	64.162	8.647
POLG2	68.117	13.055	11.29	6.18	6.302	3.99	9.047	3.847	1.886	16.127	6.889
CD4	0	0.043	0	0.018	0	0	0	0	0	0.086	0.047
TRMT61B	9.745	8.264	3.457	6.089	16.018	26.228	2.725	21.713	13.135	16.221	22.472
ITLN1	0	0	0	0.219	2.878	0.263	0.023	0.036	0.122	0.027	0.015
IRF1	22.114	14.183	8.776	23.172	7.636	5.624	1.044	2.035	3.829	4.295	2.773
PTPRE	1.844	0.993	0.628	3.934	0.264	0	0	0	0	0	0.129
PTK2B	17	21.2	13.148	27.379	4.629	0.567	0.031	0.113	0	0.203	0.093
ZSCAN5A	4.397	4.46	1.563	43.954	71.792	22.413	3.327	5.926	8.466	1.067	1.75
AGAP5	0.038	0	0	0.219	0.781	2.942	1.449	0.427	0	0.379	0.605
NXNL2	0	0	0	0.101	0.173	0.136	0.052	0	0	0.076	0.116
MIR3188	0	0	0	0	0	0	0	0	0	0.361	0
SOX4	0.477	0.213	0.225	0.601	21.181	16.217	46.58	24.83	61.064	110.814	72.89
IFI27L1	6.539	2.954	2.448	6.432	5.434	3.375	4.667	16.043	0.029	14.394	20.678
TSPAN3	1.227	0.412	0.417	0.479	2.321	2.921	8.515	40.372	23.011	18.086	24.201
SH2D1A	0.256	0.168	0.165	0.045	0	0.077	0	0	0	0	0
C8orf58	0.037	0.154	0.307	0.02	1.605	2.237	0	2.51	0	4.195	4.887
USP20	3.32	6.649	5.073	9.648	0.737	0.064	0.447	0	0	0.726	3.072
DUSP22	65.889	52.727	30.401	51.468	10.841	1.897	4.796	2.774	3.761	5.239	6.476
NCRNA00157	0	0	0	0	0	0	0	0	0	0	0.059
CALB1	4.143	6.66	4.371	8.709	2.646	0.056	13.773	19.413	47.871	6.307	11.187
LOC729668	0.078	0	0	0.154	0.1	0	0	0	0	0	0
L3MBTL2	0.921	0.968	0.918	1.105	5.474	9.819	5.302	10.704	5.461	8.581	5.004
MCRS1	45.398	16.023	9.887	19.921	21.64	15.613	20.14	54.667	42.448	33.819	40.099
C18orf8	122.662	93.517	74.27	120.91	19.694	8.087	16.229	8.718	15.636	6.963	6.231
PKD1	0	0.169	0.177	0.152	0.626	0.781	0.117	0.668	0.172	1.038	1.244
ZFP3	1.436	3.577	2.421	2.383	0.809	1.962	0.1	0	1.241	0.964	0.555
JAM3	3.455	32.333	33.431	29.73	10.522	9.323	3.232	15.834	11.449	8.262	11.275
LAPTM4A	83.286	51.329	100.979	64.808	58.979	29.387	10.716	22.829	12.765	37.883	36.823
DIRC2	21.633	22.986	15.647	7.627	2.143	4.932	29.977	4.276	13.554	5.558	3.576
KIAA2022	0	0	0	0	0	0.014	0	0	0	0.282	0.08
TRPM8	0.189	0.161	0.019	0.009	0.01	0.072	0.011	0.016	0	0	0.015
